Available Seat-miles (the number of seats and the distance flown in thousands (000)) (All U.S. Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"57,505,033","18,675,962","76,180,995"
2002,11,"54,513,457","17,399,938","71,913,395"
2002,12,"56,713,015","17,964,485","74,677,499"
2002,TOTAL,"667,378,835","216,349,806","883,728,641"
2003,1,"56,191,300","17,968,572","74,159,872"
2003,2,"50,088,434","15,587,880","65,676,314"
2003,3,"57,592,901","17,753,174","75,346,075"
2003,4,"54,639,679","15,528,761","70,168,440"
2003,5,"55,349,897","15,629,821","70,979,718"
2003,6,"56,555,517","17,191,579","73,747,096"
2003,7,"59,617,048","18,701,759","78,318,807"
2003,8,"59,634,190","19,144,885","78,779,075"
2003,9,"54,973,852","17,820,478","72,794,329"
2003,10,"58,001,020","17,694,417","75,695,437"
2003,11,"55,785,892","16,801,272","72,587,163"
2003,12,"58,842,551","17,648,530","76,491,081"
2003,TOTAL,"677,272,280","207,471,128","884,743,408"
2004,1,"58,306,593","17,988,081","76,294,673"
2004,2,"56,180,696","16,923,112","73,103,808"
2004,3,"61,833,579","18,362,220","80,195,799"
2004,4,"60,067,863","18,457,525","78,525,388"
2004,5,"60,923,099","19,844,360","80,767,459"
2004,6,"61,629,864","20,355,959","81,985,822"
2004,7,"64,095,669","21,731,193","85,826,863"
2004,8,"64,479,721","21,640,665","86,120,386"
2004,9,"57,694,884","19,502,122","77,197,006"
2004,10,"61,604,719","19,883,889","81,488,607"
2004,11,"59,431,353","18,848,375","78,279,728"
2004,12,"62,054,841","20,254,013","82,308,853"
2004,TOTAL,"728,302,880","233,791,511","962,094,391"
2005,1,"59,580,514","20,571,388","80,151,902"
2005,2,"55,964,342","18,651,403","74,615,745"
2005,3,"63,743,171","21,201,138","84,944,309"
2005,4,"61,262,216","20,990,887","82,253,103"
2005,5,"63,160,148","21,943,039","85,103,187"
2005,6,"63,378,463","22,373,102","85,751,565"
2005,7,"65,813,398","23,792,009","89,605,407"
2005,8,"65,309,256","23,418,626","88,727,882"
2005,9,"58,674,828","21,425,051","80,099,879"
2005,10,"60,392,331","21,033,727","81,426,057"
2005,11,"58,886,853","19,401,869","78,288,722"
2005,12,"60,889,086","21,153,995","82,043,081"
2005,TOTAL,"737,054,606","255,956,234","993,010,840"
2006,1,"59,096,204","21,396,430","80,492,634"
2006,2,"53,733,108","19,241,787","72,974,894"
2006,3,"62,257,065","22,367,092","84,624,157"
2006,4,"59,917,615","22,246,457","82,164,072"
2006,5,"61,284,297","23,102,699","84,386,996"
2006,6,"61,692,651","23,821,736","85,514,388"
2006,7,"64,111,164","25,185,579","89,296,743"
2006,8,"64,332,983","24,888,446","89,221,429"
2006,9,"58,383,462","22,579,257","80,962,719"
2006,10,"60,802,722","22,654,609","83,457,331"
2006,11,"58,912,308","20,821,119","79,733,427"
2006,12,"61,161,328","22,721,069","83,882,396"
2006,TOTAL,"725,684,907","271,026,279","996,711,186"
2007,1,"60,618,488","22,960,840","83,579,327"
2007,2,"54,490,060","20,624,609","75,114,669"
2007,3,"63,131,522","23,667,344","86,798,866"
2007,4,"61,124,424","23,325,666","84,450,090"
2007,5,"62,774,346","24,370,452","87,144,798"
2007,6,"62,620,840","25,295,941","87,916,781"
2007,7,"65,566,709","26,624,388","92,191,098"
2007,8,"65,556,234","26,525,647","92,081,881"
2007,9,"59,796,275","23,883,235","83,679,510"
2007,10,"62,497,723","23,713,623","86,211,346"
2007,11,"60,801,594","22,421,800","83,223,395"
2007,12,"62,270,682","24,391,947","86,662,629"
2007,TOTAL,"741,248,897","287,805,492","1,029,054,389"
2008,1,"60,635,551","24,474,296","85,109,847"
2008,2,"57,170,275","22,832,413","80,002,688"
2008,3,"63,249,344","25,295,113","88,544,457"
2008,4,"60,127,860","24,913,253","85,041,112"
2008,5,"61,778,284","26,236,332","88,014,616"
2008,6,"62,328,392","26,758,910","89,087,301"
2008,7,"64,884,624","28,113,326","92,997,950"
2008,8,"63,117,937","27,931,634","91,049,571"
2008,9,"53,906,431","24,055,799","77,962,230"
2008,10,"56,299,337","23,804,966","80,104,304"
2008,11,"53,450,483","22,297,823","75,748,306"
2008,12,"55,361,168","23,773,025","79,134,193"
2008,TOTAL,"712,309,687","300,486,889","1,012,796,576"
2009,1,"53,952,827","23,989,981","77,942,808"
2009,2,"49,969,299","21,295,607","71,264,906"
2009,3,"57,331,259","24,114,710","81,445,969"
2009,4,"55,279,977","23,917,823","79,197,800"
2009,5,"56,504,772","24,407,091","80,911,862"
2009,6,"57,716,483","25,414,368","83,130,851"
2009,7,"60,499,991","27,022,263","87,522,254"
2009,8,"59,356,980","26,667,531","86,024,512"
2009,9,"52,447,273","22,830,033","75,277,306"
2009,10,"54,453,800","22,015,791","76,469,591"
2009,11,"52,483,155","20,614,479","73,097,634"
2009,12,"54,631,259","22,325,659","76,956,918"
2009,TOTAL,"664,627,074","284,615,337","949,242,411"
2010,1,"53,795,975","23,088,105","76,884,080"
2010,2,"47,817,552","20,153,781","67,971,333"
2010,3,"57,080,653","23,685,717","80,766,370"
2010,4,"55,280,651","22,592,040","77,872,690"
2010,5,"56,898,062","25,079,577","81,977,639"
2010,6,"58,353,230","26,433,891","84,787,121"
2010,7,"61,069,806","28,347,052","89,416,858"
2010,8,"60,357,973","27,771,651","88,129,624"
2010,9,"54,729,805","24,382,358","79,112,164"
2010,10,"56,731,943","24,764,165","81,496,108"
2010,11,"54,609,482","22,486,741","77,096,223"
2010,12,"55,745,538","24,054,993","79,800,532"
2010,TOTAL,"672,470,670","292,840,071","965,310,742"
2011,1,"53,804,562","24,876,445","78,681,007"
2011,2,"49,106,329","22,192,337","71,298,667"
2011,3,"59,209,942","25,743,795","84,953,737"
2011,4,"56,686,501","25,411,596","82,098,097"
2011,5,"57,969,795","26,131,180","84,100,975"
2011,6,"59,955,599","27,224,840","87,180,439"
2011,7,"62,492,240","29,384,342","91,876,583"
2011,8,"60,248,852","28,178,615","88,427,467"
2011,9,"54,480,405","24,945,913","79,426,318"
2011,10,"56,160,266","24,800,208","80,960,473"
2011,11,"53,639,815","22,099,606","75,739,421"
2011,12,"56,330,875","24,186,935","80,517,810"
2011,TOTAL,"680,085,180","305,175,812","985,260,993"
2012,1,"53,426,991","24,645,715","78,072,706"
2012,2,"51,244,942","23,176,387","74,421,328"
2012,3,"58,846,026","25,826,784","84,672,810"
2012,4,"56,495,318","25,056,043","81,551,361"
2012,5,"58,102,674","26,487,067","84,589,741"
2012,6,"59,980,845","27,267,695","87,248,539"
2012,7,"62,452,527","28,885,438","91,337,965"
2012,8,"61,026,426","28,226,626","89,253,052"
2012,9,"54,386,931","24,996,737","79,383,668"
2012,10,"55,378,572","24,322,370","79,700,942"
2012,11,"54,524,126","22,326,176","76,850,301"
2012,12,"56,181,473","24,156,714","80,338,186"
2012,TOTAL,"682,046,850","305,373,751","987,420,601"
2013,1,"54,130,019","24,414,793","78,544,812"
2013,2,"49,951,073","22,147,136","72,098,209"
2013,3,"59,506,857","25,537,593","85,044,451"
2013,4,"57,130,620","25,447,607","82,578,227"
2013,5,"59,071,089","26,997,317","86,068,406"
2013,6,"60,724,524","28,241,852","88,966,376"
2013,7,"63,316,272","29,900,939","93,217,210"
2013,8,"62,097,316","29,469,344","91,566,659"
2013,9,"55,225,708","25,751,134","80,976,841"
2013,10,"57,851,883","25,572,700","83,424,583"
2013,11,"55,462,933","23,420,132","78,883,064"
2013,12,"57,751,867","25,019,442","82,771,309"
2013,TOTAL,"692,220,161","311,919,988","1,004,140,149"
2014,1,"54,016,077","25,155,594","79,171,671"
2014,2,"49,369,928","22,614,187","71,984,116"
2014,3,"60,675,476","26,884,781","87,560,258"
2014,4,"57,998,604","26,343,479","84,342,083"
2014,5,"59,709,929","28,271,254","87,981,183"
2014,6,"61,760,043","29,751,163","91,511,206"
2014,7,"64,773,257","31,266,476","96,039,732"
2014,8,"62,868,005","30,621,247","93,489,252"
2014,9,"56,458,422","26,575,230","83,033,652"
2014,10,"59,584,323","26,072,467","85,656,790"
2014,11,"56,949,527","24,321,971","81,271,498"
2014,12,"60,270,587","26,175,094","86,445,681"
2014,TOTAL,"704,434,179","324,052,943","1,028,487,121"
2015,1,"56,980,250","26,025,329","83,005,579"
2015,2,"51,251,150","22,933,198","74,184,348"
2015,3,"62,860,123","27,071,647","89,931,770"
2015,4,"61,116,535","27,197,262","88,313,797"
2015,5,"63,393,874","29,064,149","92,458,022"
2015,6,"65,232,947","30,162,970","95,395,918"
2015,7,"68,556,515","32,116,607","100,673,122"
2015,8,"66,730,854","31,564,671","98,295,526"
2015,9,"59,511,944","27,510,443","87,022,387"
2015,10,"62,551,345","26,675,237","89,226,582"
2015,11,"60,467,124","24,179,274","84,646,398"
2015,12,"63,241,198","26,711,528","89,952,725"
2015,TOTAL,"741,893,860","331,212,315","1,073,106,176"
2016,1,"59,672,179","26,332,010","86,004,190"
2016,2,"57,466,885","24,198,863","81,665,748"
2016,3,"66,469,561","27,375,245","93,844,807"
2016,4,"63,775,636","27,557,124","91,332,760"
2016,5,"66,545,323","29,545,223","96,090,546"
2016,6,"68,799,336","30,831,533","99,630,870"
2016,7,"71,524,171","32,640,788","104,164,959"
2016,8,"69,971,791","31,634,549","101,606,340"
2016,9,"62,507,787","27,705,349","90,213,136"
2016,10,"64,769,646","27,171,641","91,941,286"
2016,11,"62,885,798","23,851,439","86,737,237"
2016,12,"65,698,072","27,118,317","92,816,388"
2016,TOTAL,"780,086,186","335,962,081","1,116,048,267"
2017,1,"63,084,038","26,711,252","89,795,289"
2017,2,"57,436,638","23,785,528","81,222,166"
2017,3,"68,737,048","27,863,556","96,600,605"
2017,4,"66,075,373","28,543,219","94,618,593"
2017,5,"68,835,179","30,455,251","99,290,430"
2017,6,"71,663,336","31,904,900","103,568,236"
2017,7,"74,806,668","33,680,646","108,487,314"
2017,8,"73,231,019","32,407,563","105,638,582"
2017,9,"63,120,276","28,148,004","91,268,280"
2017,10,"68,007,435","28,299,580","96,307,015"
2017,11,"65,149,163","25,035,612","90,184,775"
2017,12,"68,235,413","27,932,831","96,168,244"
2017,TOTAL,"808,381,587","344,767,941","1,153,149,529"
2018,1,"65,566,516","27,380,828","92,947,344"
2018,2,"60,464,267","24,587,642","85,051,909"
2018,3,"71,674,598","28,893,311","100,567,909"
2018,4,"70,357,638","29,055,033","99,412,671"
2018,5,"73,310,971","31,133,051","104,444,022"
2018,6,"75,323,742","32,486,010","107,809,753"
2018,7,"78,406,927","34,171,666","112,578,593"
2018,8,"76,722,785","33,238,079","109,960,864"
2018,9,"68,530,468","29,479,449","98,009,918"
2018,10,"72,044,924","29,079,416","101,124,339"
2018,11,"69,098,147","25,689,087","94,787,234"
2018,12,"71,865,604","28,476,318","100,341,922"
2018,TOTAL,"853,366,588","353,669,890","1,207,036,478"
2019,1,"68,754,679","28,148,681","96,903,359"
2019,2,"62,805,310","25,032,799","87,838,108"
2019,3,"75,651,233","29,501,782","105,153,015"
2019,4,"72,335,243","29,424,979","101,760,222"
2019,5,"75,386,003","31,953,392","107,339,395"
2019,6,"76,617,119","33,392,864","110,009,983"
2019,7,"80,081,319","34,751,863","114,833,182"
2019,8,"78,976,519","34,056,646","113,033,164"
2019,9,"70,649,463","30,372,637","101,022,100"
2019,10,"74,904,240","29,477,943","104,382,183"
2019,11,"72,118,560","26,346,567","98,465,127"
2019,12,"76,153,730","29,139,144","105,292,875"
2019,TOTAL,"884,433,417","361,599,296","1,246,032,714"
2020,1,"72,426,921","28,724,229","101,151,150"
2020,2,"68,495,028","24,318,992","92,814,020"
2020,3,"64,969,418","17,530,383","82,499,801"
2020,4,"19,489,079","1,541,419","21,030,499"
2020,5,"17,242,843","1,746,343","18,989,186"
2020,6,"24,771,847","2,572,880","27,344,728"
2020,7,"40,284,861","5,480,689","45,765,550"
2020,8,"42,665,527","7,097,941","49,763,468"
2020,9,"35,882,006","7,283,900","43,165,905"
2020,10,"40,389,922","8,881,698","49,271,620"
2020,11,"43,474,919","10,199,590","53,674,509"
2020,12,"45,077,321","12,309,781","57,387,103"
2020,TOTAL,"515,169,693","127,687,845","642,857,537"
2021,1,"42,318,231","12,923,703","55,241,934"
2021,2,"37,928,293","10,965,754","48,894,046"
2021,3,"53,737,631","13,506,930","67,244,560"
2021,TOTAL,"133,984,154","37,396,387","171,380,541"
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
